id,row_type,name,creator_or_platform,url,evidence_url,font_type,category,license_signal,commercial_use,attribution_required,redistribution_note,download_requires_signup,audit_status,risk_notes,best_for,last_checked,engine_note_unity,engine_note_godot,engine_note_unreal,license_file_required,reserved_font_name_risk,logo_use_warning,glyph_coverage_note,recommended_for,avoid_for
F035,font_source,Chakra Petch,Google Fonts / Chakra Petch Project,https://fonts.google.com/specimen/Chakra+Petch,https://raw.githubusercontent.com/google/fonts/main/ofl/chakrapetch/OFL.txt,tech sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Tech UI feel with readable forms; useful for sci-fi games.,sci-fi menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi menus,soft cozy UI
F036,font_source,Oxanium,Google Fonts / Oxanium Project,https://fonts.google.com/specimen/Oxanium,https://raw.githubusercontent.com/google/fonts/main/ofl/oxanium/OFL.txt,tech display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful for sci-fi/vehicle HUDs; test lowercase readability.,sci-fi HUD,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi HUD,long body text
F037,font_source,Black Ops One,Google Fonts / Black Ops Project,https://fonts.google.com/specimen/Black+Ops+One,https://raw.githubusercontent.com/google/fonts/main/ofl/blackopsone/OFL.txt,stencil display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Military/stencil style; use carefully for tone and readability.,action titles,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,action titles,body copy
F038,font_source,Righteous,Google Fonts / Astigmatic,https://fonts.google.com/specimen/Righteous,https://raw.githubusercontent.com/google/fonts/main/ofl/righteous/OFL.txt,display sans font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Retro-futuristic display choice; test at small sizes.,arcade title UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,arcade title UI,paragraph text
F039,font_source,Kanit,Google Fonts / Kanit Project,https://fonts.google.com/specimen/Kanit,https://raw.githubusercontent.com/google/fonts/main/ofl/kanit/OFL.txt,sans UI font,multilingual/fallback,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful Thai/Latin UI candidate; verify script needs before using.,Thai/Latin UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,Thai/Latin UI,scripts not covered by family
F040,font_source,Barlow,Google Fonts / Barlow Project,https://fonts.google.com/specimen/Barlow,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Readable and utilitarian; good for simulation/tool-like UI.,menus and dashboards,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,menus and dashboards,highly stylized title UI
F041,font_source,Cabin,Google Fonts / Cabin Project,https://fonts.google.com/specimen/Cabin,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Humanist sans option; practical for readable menus.,dialogue boxes and menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,dialogue boxes and menus,pixel art title screens
F042,font_source,Quicksand,Google Fonts / Quicksand Project,https://fonts.google.com/specimen/Quicksand,https://raw.githubusercontent.com/google/fonts/main/ofl/quicksand/OFL.txt,rounded sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Soft rounded UI option; test for small-size readability.,cozy/casual menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,cozy/casual menus,serious tactical UI
F043,font_source,Work Sans,Google Fonts / Work Sans Project,https://fonts.google.com/specimen/Work+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Practical UI/body font; broad utility.,menus and tool UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,menus and tool UI,highly themed title cards
F044,font_source,IBM Plex Mono,Google Fonts / IBM Plex Project,https://fonts.google.com/specimen/IBM+Plex+Mono,https://raw.githubusercontent.com/google/fonts/main/ofl/ibmplexmono/OFL.txt,monospace font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Reserved Font Name Plex; useful but modification/naming needs care.,terminal and debug UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,yes - review OFL Reserved Font Name wording before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,terminal and debug UI,modified derivative without naming review
F045,font_source,IBM Plex Sans,Google Fonts / IBM Plex Project,https://fonts.google.com/specimen/IBM+Plex+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/ibmplexsans/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Reserved Font Name Plex; strong readable UI candidate.,menus and documentation UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,yes - review OFL Reserved Font Name wording before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,menus and documentation UI,modified derivative without naming review
F046,font_source,Share Tech Mono,Google Fonts / Carrois Type Design,https://fonts.google.com/specimen/Share+Tech+Mono,https://raw.githubusercontent.com/google/fonts/main/ofl/sharetechmono/OFL.txt,monospace tech font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Compact tech mono; good for code-like labels.,terminal and sci-fi UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,terminal and sci-fi UI,long narrative text
F047,font_source,Pixelify Sans,Google Fonts / Pixelify Sans Project,https://fonts.google.com/specimen/Pixelify+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/pixelifysans/OFL.txt,pixel font,pixel/retro,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Pixel-focused family; better modern pixel UI candidate than many title-only pixel fonts.,pixel UI and retro menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,pixel UI and retro menus,high-density non-pixel UI
